bin__tipo_laboral_Independiente,poly__tipo_credito_4,poly__tipo_credito_6,poly__tipo_credito_9,poly__tipo_credito_10,num__capital_prestado,num__edad_cliente,num__salario_cliente,num__total_otros_prestamos,num__cuota_pactada,num__puntaje_datacredito,num__cant_creditosvigentes,num__huella_consulta,num__saldo_mora,num__saldo_principal,num__creditos_sectorCooperativo,num__creditos_sectorReal,Pago_atiempo
0.0,1.0,0.0,0.0,0.0,0.011683336938616392,0.82,0.00013636363636363637,0.0002946516918542218,0.02661141824210453,0.7912524850894632,0.04838709677419355,0.034482758620689655,0.0,0.005551483884182464,0.0,0.08,1
1.0,0.0,0.0,1.0,0.0,0.1366470528753364,0.33999999999999997,0.00018345454545454546,0.00012213312627357495,0.13330756526562904,0.742544731610338,0.06451612903225806,0.1724137931034483,0.0,0.011970927199582664,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.03191595568206533,0.58,6.929759090909092e-05,7.336827127170123e-05,0.06023927390998965,0.8389662027833001,0.06451612903225806,0.13793103448275862,0.0,0.010101870017314383,0.0,0.0,1
0.0,0.0,0.0,1.0,0.0,0.05894331110559008,0.5,0.00022727272727272727,0.0005893033837084436,0.0509103018133267,0.7733598409542743,0.06451612903225806,0.20689655172413793,0.0,0.1310925983415318,0.0,0.04,1
0.0,1.0,0.0,0.0,0.0,0.016354919213522154,0.26,0.00012727272727272728,0.00011786067674168872,0.015536773809800022,0.7236580516898607,0.16129032258064516,0.4482758620689655,0.0,0.015617508969234167,0.0,0.32,1
1.0,1.0,0.0,0.0,0.0,0.06582295643686731,0.9800000000000001,4.545454545454545e-05,0.0032419052396260753,0.11529373487927679,0.8161033797216699,0.1774193548387097,0.27586206896551724,0.0,0.13555465232015926,0.23076923076923078,0.0,1
0.0,1.0,0.0,0.0,0.0,0.07933862031590926,0.24,0.00017192286363636365,4.4934383007768825e-05,0.1366098679395319,0.7624254473161033,0.016129032258064516,0.1724137931034483,0.0,0.0077309837833685925,0.07692307692307693,0.0,1
0.0,0.0,0.0,1.0,0.0,0.043199810122408075,0.24,0.0006590909090909091,0.0011786067674168872,0.04160189495487249,0.7395626242544732,0.0,0.06896551724137931,0.0,0.009244151995314556,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,0.19569589372182455,0.52,0.0006363636363636364,0.0007366292296355545,0.30128680386668666,0.7544731610337971,0.06451612903225806,0.10344827586206896,0.0,0.08025616324806294,0.0,0.0,1
1.0,0.0,0.0,1.0,0.0,0.022125319327504788,0.84,0.00022727272727272727,0.0002946516918542218,0.08247767880683653,0.7107355864811132,0.1774193548387097,0.5172413793103449,0.0,0.10086571912295132,0.15384615384615385,0.12,1
0.0,1.0,0.0,0.0,0.0,0.045676034969863125,0.7799999999999999,0.00012727272727272728,5.893033837084436e-05,0.04007268493422288,0.7564612326043737,0.16129032258064516,0.06896551724137931,0.0,0.03612465075194347,0.0,0.12,1
1.0,1.0,0.0,0.0,0.0,0.09551127947318899,0.9400000000000001,0.0003636363636363636,0.0003535820302250662,0.12201144903723048,0.8111332007952285,0.08064516129032258,0.13793103448275862,0.0,0.022322431566583565,0.0,0.04,1
1.0,1.0,0.0,0.0,0.0,0.063516461266788,0.84,0.0001818181818181818,0.00022098876889066637,0.05511694765461368,0.8598409542743538,0.08064516129032258,0.06896551724137931,0.0,0.03634036043359567,0.0,0.04,1
0.0,1.0,0.0,0.0,0.0,0.03501203997079867,0.66,8.181818181818182e-05,1.473258459271109e-05,0.030847066342403834,0.7972166998011928,0.06451612903225806,0.06896551724137931,0.0,0.00723043490784332,0.0,0.04,1
1.0,1.0,0.0,0.0,0.0,0.05841668469308195,0.48,0.00011363636363636364,0.00011786067674168872,0.05085783409020441,0.8628230616302186,0.04838709677419355,0.0,0.0,0.019369065183369234,0.15384615384615385,0.0,1
1.0,1.0,0.0,0.0,0.0,0.09697169659051603,0.48,0.0009090909090909091,0.001473258459271109,0.1639637440123518,0.8399602385685884,0.08064516129032258,0.034482758620689655,0.0,0.0027030919454516943,0.07692307692307693,0.04,1
0.0,1.0,0.0,0.0,0.0,0.018788266214412482,0.30000000000000004,6.818181818181818e-05,7.071640604501324e-05,0.03805544599146596,0.8489065606361829,0.03225806451612903,0.10344827586206896,0.0,2.2403082664174593e-05,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,0.020445839642578685,0.9800000000000001,0.0001818181818181818,0.00036831461481777727,0.04074342808810781,0.768389662027833,0.06451612903225806,0.10344827586206896,0.0,0.004804501099351271,0.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.07302085586635244,0.62,0.00016272727272727272,0.0001701613520458131,0.1270293671601621,0.9234592445328031,0.08064516129032258,0.13793103448275862,0.0,0.02636266750304842,0.07692307692307693,0.0,1
1.0,1.0,0.0,0.0,0.0,0.056284475701784464,0.45999999999999996,0.00027272727272727274,0.0002946516918542218,0.04904308364673351,0.8001988071570576,0.0967741935483871,0.034482758620689655,0.0,0.01894724714120663,0.0,0.0,1
1.0,0.0,0.0,1.0,0.0,0.012629687230644317,0.6,0.00022727272727272727,0.0002946516918542218,0.03130134718129681,0.8220675944333996,0.2096774193548387,0.41379310344827586,0.0,0.012072701203685627,0.0,0.16,1
1.0,0.0,0.0,1.0,0.0,0.012629687230644317,0.52,0.00022727272727272727,0.0002946516918542218,0.011746442213789888,0.7345924453280318,0.14516129032258063,0.4482758620689655,0.0,0.026490685118272277,0.07692307692307693,0.16,1
