bin__tipo_laboral_Independiente,poly__tipo_credito_4,poly__tipo_credito_6,poly__tipo_credito_9,poly__tipo_credito_10,num__capital_prestado,num__edad_cliente,num__salario_cliente,num__total_otros_prestamos,num__cuota_pactada,num__puntaje_datacredito,num__cant_creditosvigentes,num__huella_consulta,num__saldo_mora,num__saldo_principal,num__creditos_sectorCooperativo,num__creditos_sectorReal,prediction
1.0,0.0,0.0,1.0,0.0,0.0075503564965808,0.7200000000000001,0.0002272727272727,0.0002946516918542,0.010244916167652,0.7892644135188867,0.1774193548387097,0.0689655172413793,0.0,0.0814646495357761,0.0,0.08,1
0.0,1.0,0.0,0.0,0.0,0.1543631684672344,0.56,0.0002050909090909,0.0002379312411722,0.0676546242256396,0.8419483101391649,0.1451612903225806,0.1034482758620689,0.0,0.0693228188198696,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0230745904537673,0.1999999999999999,0.0001272727272727,0.0001915235997052,0.0207788002978268,0.709741550695825,0.1451612903225806,0.3793103448275862,0.0,0.0309188144288654,0.0,0.12,0
1.0,1.0,0.0,0.0,0.0,0.0788625243356606,0.6,5e-05,4.419775377813327e-05,0.0687192707882919,0.8270377733598409,0.064516129032258,0.1034482758620689,0.0,0.0002496343496865,0.0,0.12,1
0.0,1.0,0.0,0.0,0.0,0.1110851676123646,0.54,0.00014,0.0004315174027205,0.1900156823124186,0.8170974155069582,0.0967741935483871,0.1034482758620689,0.0,0.0791769747517258,0.2307692307692307,0.04,1
0.0,1.0,0.0,0.0,0.0,0.0807990666415786,0.28,0.0002777454545454,0.0003845204578697,0.1397112640555493,0.8667992047713717,0.0967741935483871,0.1034482758620689,0.0,0.1338443369807685,0.0,0.04,1
0.0,0.0,0.0,1.0,0.0,0.0693586554862584,0.4599999999999999,0.000140909090909,0.0002946516918542,0.065459153218407,0.8240556660039761,0.0967741935483871,0.1379310344827586,0.0,0.0313182293883638,0.0,0.08,1
0.0,0.0,0.0,1.0,0.0,0.0542518671578886,0.14,4.545454545454545e-05,5.893033837084436e-05,0.051640895083537,0.7703777335984096,0.0,0.1034482758620689,0.0,0.0092441519953145,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0043418200898133,0.32,0.0001818181818181,0.0002946516918542,0.0147547674440678,0.8499005964214711,0.032258064516129,0.0689655172413793,0.0,0.008221931337752,0.0,0.0,1
1.0,0.0,0.0,1.0,0.0,0.0180377870661604,0.4,0.0002272727272727,0.000373912996963,0.0191565193914376,0.8041749502982107,0.0806451612903225,0.2413793103448275,0.0,0.1018316120298153,0.0,0.08,0
1.0,1.0,0.0,0.0,0.0,0.0148904129282665,0.06,4.545454545454545e-05,5.893033837084436e-05,0.0317783025135994,0.7504970178926441,0.032258064516129,0.1379310344827586,0.0,3.264449188208298e-05,0.0,0.08,0
0.0,1.0,0.0,0.0,0.0,0.0893775275804153,0.26,0.0001590909090909,0.0002209887688906,0.0773097399077411,0.7852882703777335,0.0967741935483871,0.1724137931034483,0.0,0.0161193380209116,0.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0204458396425786,0.38,0.0001727272727272,0.0002651865226687,0.0410748448115486,0.7157057654075546,0.1935483870967742,0.1379310344827586,0.0,0.0144627900799149,0.0769230769230769,0.4,1
1.0,1.0,0.0,0.0,0.0,0.0292083423465409,0.7000000000000001,0.0001818181818181,4.419775377813327e-05,0.0259607130126281,0.7664015904572564,0.0806451612903225,0.1034482758620689,0.0,0.0021775796349577,0.0,0.08,0
